Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author,Imprint,Customer Currency,Sale Date
iTunes,9/1/15,9/30/15,18,37.8,USD,US,,9781935961147,,440610146,,,,2.99,,,,Riversong,Tess Thompson,Booktrope,USD,
iTunes,9/1/15,9/30/15,10,21,USD,US,,9781620150313,,480519951,,,,2.99,,,,Suddenly a Spy,Heather Huffman,Booktrope,USD,
iTunes,9/1/15,9/30/15,2,4.2,USD,US,,9781620150382,,481266197,,,,2.99,,,,Ties that Bind,Heather Huffman,Booktrope,USD,
iTunes,9/1/15,9/30/15,5,3.5,USD,US,,9781620150382,,481266197,,,,0.99,,,,Ties that Bind,Heather Huffman,Booktrope,USD,
iTunes,9/1/15,9/30/15,12,8.4,USD,US,,9781620150344,,485468555,,,,0.99,,,,Jailbird,Heather Huffman,Booktrope Editions,USD,
iTunes,9/1/15,9/30/15,3,6.3,USD,US,,9781620150344,,485468555,,,,2.99,,,,Jailbird,Heather Huffman,Booktrope Editions,USD,
iTunes,9/1/15,9/30/15,45,94.5,USD,US,,9781620150436,,487424092,,,,2.99,,,,Ring of Fire,Heather Huffman,Booktrope Editions,USD,
iTunes,9/1/15,9/30/15,4,11.2,USD,US,,9781620150337,,491314585,,,,3.99,,,,Memoirs Aren't Fairytales,Marni Mann,Booktrope Editions,USD,
iTunes,9/1/15,9/30/15,2,7,USD,US,,9781935961260,,501027628,,,,4.99,,,,The Essential Stay-at-Home Mom Manual,Shannon Hyland-Tassava,Booktrope,USD,
iTunes,9/1/15,9/30/15,45,31.5,USD,US,,9781620150467,,517235903,,,,0.99,,,,Tumbleweed,Heather Huffman,Libertary Co,USD,
iTunes,9/1/15,9/30/15,3,6.3,USD,US,,9781620150603,,535512033,,,,2.99,,,,Devil In Disguise,Heather Huffman,Booktrope Editions,USD,
iTunes,9/1/15,9/30/15,4,11.2,USD,US,,9781620150689,,549635648,,,,3.99,,,,Scars from a Memoir,Marni Mann,Booktrope Editions,USD,
iTunes,9/1/15,9/30/15,3,18.9,USD,US,,9781935961895,,590707326,,,,8.99,,,,The Art of Selling Real Estate,Patricia Cliff,Booktrope Editions,USD,
iTunes,9/1/15,9/30/15,4,16.8,USD,US,,9781620151273,,591472124,,,,5.99,,,,Fiery Hearts Collection,Heather Huffman,Booktrope Editions,USD,
iTunes,9/1/15,9/30/15,1,2.1,USD,US,,9781620150573,,595802253,,,,2.99,,,,Roses in Ecuador,Heather Huffman,Booktrope Editions,USD,
iTunes,9/1/15,9/30/15,4,11.2,USD,US,,9781620152386,,646742987,,,,3.99,,,,Riverbend,Tess Thompson,Booktrope,USD,
iTunes,9/1/15,9/30/15,1,3.5,USD,US,,9781620150054,,665100611,,,,4.99,,,,The Golden Theme,Brian McDonald,Booktrope,USD,
iTunes,9/1/15,9/30/15,6,12.6,USD,US,,9781620152478,,666120396,,,,2.99,,,,Fool's Game,Heather Huffman,Booktrope,USD,
iTunes,9/1/15,9/30/15,1,2.8,USD,US,,9781620151068,,676807146,,,,3.99,,,,Hear No Evil,Terry Persun,Booktrope,USD,
iTunes,9/1/15,9/30/15,1,3.5,USD,US,,9781620152522,,686649408,,,,4.99,,,,Dead of Knight,Nicole J. Persun,Booktrope,USD,
iTunes,9/1/15,9/30/15,6,16.8,USD,US,,9781620152423,,691556724,,,,3.99,,,,Riverstar,Tess Thompson,Booktrope Editions,USD,
iTunes,9/1/15,9/30/15,1,2.1,USD,US,,9781620152546,,709567734,,,,2.99,,,,Just Friends With Benefits,Meredith Schorr,Booktrope,USD,
iTunes,9/1/15,9/30/15,46,128.8,USD,US,,9781620152690,,719581050,,,,3.99,,,,The Dark Light of Day,T.M. Frazier,Booktrope,USD,
iTunes,9/1/15,9/30/15,2,14,USD,US,,9781620150504,,729758943,,,,9.99,,,,Pick up the Damn Phone!,Joanne Black,Booktrope,USD,
iTunes,9/1/15,9/30/15,1,0.7,USD,US,,9781620153161,,731996879,,,,0.99,,,,Dirt Nap,AJ Aalto,Booktrope,USD,
iTunes,9/1/15,9/30/15,2,8.4,USD,US,,9781620152652,,794142892,,,,5.99,,,,Seasons' End,Will North,Booktrope,USD,
iTunes,9/1/15,9/30/15,3,10.5,USD,US,,9781620150580,,811613539,,,,4.99,,,,The Girls: Sappho Goes to Hollywood,Diana McLellan,Booktrope,USD,
iTunes,9/1/15,9/30/15,1,3.5,USD,US,,9781620152461,,849960549,,,,4.99,,,,Memory Tower,Terry Persun,Booktrope,USD,
iTunes,9/1/15,9/30/15,1,2.8,USD,US,,9781620153741,,883434355,,,,3.99,,,,Biking Uphill,Arleen Williams,Booktrope,USD,
